spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,runp2p_success,runhybrid_success,succeeded
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,39.807831802,,18,18,16,16,16,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,7:31.05,75,0,411,1312,352.41,3,457,0.3750,0.8750,0.1250,17,42.86,0.1250,,0:53.00,252,,True,False,True,,32.5079,0.0,0:00.25,,"Assertion fail:
",True,False,False,,0.0,0.0,0:00.45,True,False,False
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_5/log/runproute.log,../gen/Tst_pirTest/DotProduct_5/log/runproute.sh,../gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_5/log/,../gen/Tst_pirTest/DotProduct_5/log/gentst.log,../gen/Tst_pirTest/DotProduct_5/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_5/log/maketst.log,../gen/Tst_pirTest/DotProduct_5/log/runp2p.log,../gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,16.437525312,,18,18,6,6,6,4,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:37.48,0,0,269,682,6.00,0,436,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:27.20,239,,True,False,True,,35.3473,0.0,0:00.20,303,,True,False,True,,27.8812,0.0,0:00.27,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/pir/out/resource.csv,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runp2p.log,../gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,19.599305163,,18,18,5,5,11,6,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:26.33,0,0,2617,2999344,5.50,0,1860524,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:35.96,270614,,True,False,True,,0.491918,0.242175,0:19.37,272788,,True,False,True,,0.487998,0.240245,1:20.68,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/pir/out/resource.csv,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runp2p.log,../gen/Tst_pirTest/GDA_1/log/runhybrid.log,True,,,19.197466188,,18,18,5,5,11,6,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:26.74,0,0,313,52300,5.50,0,30452,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:35.66,5395,,True,False,True,,1.61335,0.759222,0:00.53,6034,,True,False,True,,1.44249,0.67882,0:01.96,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/pir/out/resource.csv,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runp2p.log,../gen/Tst_pirTest/GDA_14/log/runhybrid.log,True,,,44.946930105,,18,18,5,6,17,26,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,4:08.75,0,0,1055425,9814248,5.50,0,5291948,0.0000,0.0000,0.0000,11,-nan,0.0000,,1:00.62,398795,,True,False,True,,0.333806,0.164335,1:24.31,332719,,True,False,True,,0.400097,0.196971,2:30.31,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/pir/out/resource.csv,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runp2p.log,../gen/Tst_pirTest/GDA_2/log/runhybrid.log,True,,,28.533915234,,18,18,5,6,15,12,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:12.82,0,0,481,42782,6.00,0,25780,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:45.42,2963,,True,False,True,,2.93756,1.38238,0:00.56,3344,,True,False,True,,2.60287,1.22488,0:01.33,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_3/log/runproute.log,../gen/Tst_pirTest/GDA_3/log/runproute.sh,../gen/Tst_pirTest/GDA_3/plastisim/summary.csv,../gen/Tst_pirTest/GDA_3/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_3/log/,../gen/Tst_pirTest/GDA_3/log/gentst.log,../gen/Tst_pirTest/GDA_3/pir/out/resource.csv,../gen/Tst_pirTest/GDA_3/log/maketst.log,../gen/Tst_pirTest/GDA_3/log/runp2p.log,../gen/Tst_pirTest/GDA_3/log/runhybrid.log,True,,,24.207144416,,18,18,5,6,12,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:52.30,0,0,8415,128120,5.50,0,77556,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:41.68,13056,,True,False,True,,0.666667,0.313725,0:01.44,10753,,True,False,True,,0.809449,0.380917,0:03.92,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_4/log/runproute.log,../gen/Tst_pirTest/GDA_4/log/runproute.sh,../gen/Tst_pirTest/GDA_4/plastisim/summary.csv,../gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_4/log/,../gen/Tst_pirTest/GDA_4/log/gentst.log,../gen/Tst_pirTest/GDA_4/pir/out/resource.csv,../gen/Tst_pirTest/GDA_4/log/maketst.log,../gen/Tst_pirTest/GDA_4/log/runp2p.log,../gen/Tst_pirTest/GDA_4/log/runhybrid.log,True,,,43.324615427,,18,18,5,6,17,26,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,4:18.30,0,0,20993,148226,6.00,0,85428,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:01.74,6710,,True,False,True,,1.29717,0.610432,0:01.60,6064,,True,False,True,,1.43536,0.675462,0:02.87,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_5/log/runproute.log,../gen/Tst_pirTest/GDA_5/log/runproute.sh,../gen/Tst_pirTest/GDA_5/plastisim/summary.csv,../gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_5/log/,../gen/Tst_pirTest/GDA_5/log/gentst.log,../gen/Tst_pirTest/GDA_5/pir/out/resource.csv,../gen/Tst_pirTest/GDA_5/log/maketst.log,../gen/Tst_pirTest/GDA_5/log/runp2p.log,../gen/Tst_pirTest/GDA_5/log/runhybrid.log,True,,,22.995206049,,18,18,5,6,11,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:47.36,0,0,8737,218300,5.50,0,122108,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:37.37,25794,,True,False,True,,0.337443,0.158797,0:02.10,28434,,True,False,True,,0.306112,0.144053,0:09.14,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GDA_6,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_6/log/runproute.log,../gen/Tst_pirTest/GDA_6/log/runproute.sh,../gen/Tst_pirTest/GDA_6/plastisim/summary.csv,../gen/Tst_pirTest/GDA_6/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_6/log/,../gen/Tst_pirTest/GDA_6/log/gentst.log,../gen/Tst_pirTest/GDA_6/pir/out/resource.csv,../gen/Tst_pirTest/GDA_6/log/maketst.log,../gen/Tst_pirTest/GDA_6/log/runp2p.log,../gen/Tst_pirTest/GDA_6/log/runhybrid.log,True,,,35.881867546,,18,18,5,6,14,22,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:45.30,0,0,2098490,19071160,5.50,0,9724844,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:52.02,791245,,True,False,True,,0.168241,0.0828264,2:04.95,703522,,True,False,True,,0.189219,0.0931542,4:44.90,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GEMM_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_0/log/runproute.log,../gen/Tst_pirTest/GEMM_0/log/runproute.sh,../gen/Tst_pirTest/GEMM_0/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_0/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_0/log/,../gen/Tst_pirTest/GEMM_0/log/gentst.log,../gen/Tst_pirTest/GEMM_0/pir/out/resource.csv,../gen/Tst_pirTest/GEMM_0/log/maketst.log,../gen/Tst_pirTest/GEMM_0/log/runp2p.log,../gen/Tst_pirTest/GEMM_0/log/runhybrid.log,True,,,17.839634037,,18,18,3,6,5,5,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:16.97,0,0,167720,722944,5.50,0,423172,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:27.52,132337,,True,False,True,,1.98088,0.495221,0:05.35,132450,,True,False,True,,1.97919,0.494798,0:34.87,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GEMM_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_1/log/runproute.log,../gen/Tst_pirTest/GEMM_1/log/runproute.sh,../gen/Tst_pirTest/GEMM_1/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_1/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_1/log/,../gen/Tst_pirTest/GEMM_1/log/gentst.log,../gen/Tst_pirTest/GEMM_1/pir/out/resource.csv,../gen/Tst_pirTest/GEMM_1/log/maketst.log,../gen/Tst_pirTest/GEMM_1/log/runp2p.log,../gen/Tst_pirTest/GEMM_1/log/runhybrid.log,True,,,16.780769198,,18,18,3,3,5,5,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:05.26,0,0,3282463,0,5.00,0,591492,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:24.95,265427,,True,False,True,,0.246908,0.061727,0:06.23,265461,,True,False,True,,0.246876,0.061719,1:04.41,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GEMM_10,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_10/log/runproute.log,../gen/Tst_pirTest/GEMM_10/log/runproute.sh,../gen/Tst_pirTest/GEMM_10/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_10/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_10/log/,../gen/Tst_pirTest/GEMM_10/log/gentst.log,../gen/Tst_pirTest/GEMM_10/pir/out/resource.csv,../gen/Tst_pirTest/GEMM_10/log/maketst.log,../gen/Tst_pirTest/GEMM_10/log/runp2p.log,../gen/Tst_pirTest/GEMM_10/log/runhybrid.log,True,,,28.576780734,,18,18,4,4,7,17,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:07.57,0,0,127407,124928,5.50,0,112965,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:34.06,9586,,True,False,True,,1.70916,0.42729,0:00.97,12785,,True,False,True,,1.2815,0.320375,0:04.28,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GEMM_11,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_11/log/runproute.log,../gen/Tst_pirTest/GEMM_11/log/runproute.sh,../gen/Tst_pirTest/GEMM_11/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_11/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_11/log/,../gen/Tst_pirTest/GEMM_11/log/gentst.log,../gen/Tst_pirTest/GEMM_11/pir/out/resource.csv,../gen/Tst_pirTest/GEMM_11/log/maketst.log,../gen/Tst_pirTest/GEMM_11/log/runp2p.log,../gen/Tst_pirTest/GEMM_11/log/runhybrid.log,True,,,33.04099479,,18,18,7,7,9,17,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:48.73,0,0,251979,14336,6.00,0,85832,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:37.35,9844,,True,False,True,,1.66436,0.416091,0:01.10,9973,,True,False,True,,1.64284,0.410709,0:03.61,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,GEMM_12,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_12/log/runproute.log,../gen/Tst_pirTest/GEMM_12/log/runproute.sh,../gen/Tst_pirTest/GEMM_12/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_12/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_12/log/,../gen/Tst_pirTest/GEMM_12/log/gentst.log,../gen/Tst_pirTest/GEMM_12/pir/out/resource.csv,../gen/Tst_pirTest/GEMM_12/log/maketst.log,../gen/Tst_pirTest/GEMM_12/log/runp2p.log,../gen/Tst_pirTest/GEMM_12/log/runhybrid.log,True,,,29.305226206,,18,18,5,5,7,19,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:25.97,0,0,118773,94208,5.50,0,108358,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:33.98,9854,,True,False,True,,1.66268,0.415669,0:01.02,13245,,True,False,True,,1.237,0.309249,0:04.59,True,True,True
